l2	l1	cosine_dist	max_abs	mean_abs	rel_l2	wt_norm	test_norm	test_id	wt_id
0.1995518	5.6062326	2.4437904e-05	0.023044586	0.0043798694	0.0070428443	28.333979	28.312511	tournament_test_1	tournament_wt_1
0.6799456	19.261877	0.00028789043	0.06463903	0.015048342	0.023997532	28.333979	28.32291	tournament_test_2	tournament_wt_1
0.24233527	6.8476353	3.618002e-05	0.022069536	0.0053497152	0.008552815	28.333979	28.320602	tournament_test_3	tournament_wt_1
0.2313272	6.5196295	3.3140182e-05	0.023539439	0.0050934604	0.008164303	28.333979	28.318571	tournament_test_4	tournament_wt_1
0.21482313	6.035027	2.861023e-05	0.025574595	0.004714865	0.0075818202	28.333979	28.31712	tournament_test_5	tournament_wt_1
0.22345725	6.296624	3.0755997e-05	0.022754028	0.0049192375	0.007886547	28.333979	28.31782	tournament_test_6	tournament_wt_1
0.22531116	6.3200994	3.1232834e-05	0.021671683	0.0049375775	0.007951978	28.333979	28.323917	tournament_test_7	tournament_wt_1
0.19829732	5.5772943	2.4139881e-05	0.027352452	0.004357261	0.0069985697	28.333979	28.315214	tournament_test_8	tournament_wt_1
0.25895455	7.382369	4.1604042e-05	0.028125944	0.005767476	0.009139365	28.333979	28.317862	tournament_test_9	tournament_wt_1
0.19431645	5.4621243	2.348423e-05	0.025025055	0.0042672846	0.0068580713	28.333979	28.321127	tournament_test_10	tournament_wt_1
0.23351967	6.6229477	3.3795834e-05	0.02342093	0.0051741777	0.008241683	28.333979	28.324476	tournament_test_11	tournament_wt_1
0.23977438	6.6642294	3.5345554e-05	0.027495384	0.0052064294	0.008462432	28.333979	28.318077	tournament_test_12	tournament_wt_1
0.24242954	6.887725	3.6001205e-05	0.024887085	0.005381035	0.0085561415	28.333979	28.313135	tournament_test_13	tournament_wt_1
0.21948619	6.216116	2.9802322e-05	0.021843448	0.0048563406	0.007746395	28.333979	28.320353	tournament_test_14	tournament_wt_1
0.21962838	6.234368	2.9742718e-05	0.024206325	0.0048706	0.007751413	28.333979	28.313524	tournament_test_15	tournament_wt_1
0.20504984	5.70404	2.604723e-05	0.025158405	0.004456281	0.0072368886	28.333979	28.31596	tournament_test_16	tournament_wt_1
0.19416103	5.4011297	2.3126602e-05	0.027109623	0.0042196326	0.0068525863	28.333979	28.315289	tournament_test_17	tournament_wt_1
0.19755141	5.5516357	2.3663044e-05	0.02198939	0.0043372153	0.006972244	28.333979	28.313524	tournament_test_18	tournament_wt_1
0.61295384	17.408499	0.00023376942	0.05925721	0.0136003895	0.021633172	28.333979	28.319908	tournament_test_19	tournament_wt_1
0.2121357	6.0118675	2.7775764e-05	0.021037653	0.0046967715	0.007486972	28.333979	28.316513	tournament_test_20	tournament_wt_1
0.21646146	6.0695157	2.8669834e-05	0.024040401	0.0047418093	0.0076396423	28.333979	28.313486	tournament_test_21	tournament_wt_1
0.2570995	7.2290936	4.082918e-05	0.03245955	0.005647729	0.009073894	28.333979	28.312912	tournament_test_22	tournament_wt_1
0.20479634	5.7388887	2.5868416e-05	0.022524714	0.004483507	0.0072279414	28.333979	28.323812	tournament_test_23	tournament_wt_1
0.23016186	6.4676228	3.248453e-05	0.027114868	0.00505283	0.008123174	28.333979	28.316149	tournament_test_24	tournament_wt_1
0.24548903	6.9370136	3.7431717e-05	0.0309171	0.005419542	0.008664122	28.333979	28.320948	tournament_test_25	tournament_wt_1
0.2455384	6.988788	3.7431717e-05	0.02679056	0.005459991	0.008665863	28.333979	28.31494	tournament_test_26	tournament_wt_1
0.22730662	6.416331	3.1888485e-05	0.03235861	0.0050127585	0.008022404	28.333979	28.316578	tournament_test_27	tournament_wt_1
0.24710971	6.983564	3.796816e-05	0.033495307	0.0054559093	0.008721321	28.333979	28.321795	tournament_test_28	tournament_wt_1
